path_id,model,abs_time,abs_state,steps
342,B,0.90870000000000006,0,9087
343,A,0.49060000000000004,1,4906
343,B,6.4575000000000005,0,64575
344,A,1.2430000000000001,1,12430
344,B,0.29830000000000001,0,2983
345,A,1.1947000000000001,1,11947
345,B,1.0164,0,10164
346,A,1.4306000000000001,1,14306
346,B,1.4144000000000001,0,14144
347,A,0.3775,1,3775
347,B,1.6751,0,16751
348,A,0.4652,1,4652
348,B,4.0495000000000001,1,40495
349,A,1.8929,1,18929
349,B,0.63770000000000004,0,6377
350,A,0.72389999999999999,1,7239
350,B,0.879,0,8790
351,A,1.2829000000000002,1,12829
351,B,2.9548000000000001,1,29548
352,A,0.35260000000000002,1,3526
352,B,0.1835,0,1835
353,A,0.46740000000000004,1,4674
353,B,1.0448,1,10448
354,A,0.47450000000000003,1,4745
354,B,1.8139000000000001,1,18139
355,A,0.86099999999999999,1,8610
355,B,0.61130000000000007,0,6113
356,A,0.87860000000000005,1,8786
356,B,1.3096000000000001,1,13096
357,A,1.2084000000000001,1,12084
357,B,0.30260000000000004,0,3026
358,A,0.48040000000000005,1,4804
358,B,0.69610000000000005,0,6961
359,A,1.1782000000000001,1,11782
359,B,5.2556000000000003,1,52556
360,A,0.35370000000000001,1,3537
360,B,1.1281000000000001,0,11281
361,A,0.75319999999999998,1,7532
361,B,2.2972000000000001,1,22972
362,A,1.1533,1,11533
362,B,0.86230000000000007,0,8623
363,A,0.64980000000000004,1,6498
363,B,0.51150000000000007,1,5115
364,A,0.72030000000000005,1,7203
364,B,1.2628000000000001,0,12628
365,A,0.89190000000000003,1,8919
365,B,1.3932,0,13932
366,A,0.3322,1,3322
366,B,0.67659999999999998,1,6766
367,A,1.4905000000000002,1,14905
367,B,0.76019999999999999,0,7602
368,A,1.1216000000000002,1,11216
368,B,0.39810000000000001,0,3981
369,A,1.1609,1,11609
369,B,0.95500000000000007,0,9550
370,A,0.69140000000000001,1,6914
370,B,1.1664000000000001,0,11664
371,A,0.72140000000000004,1,7214
371,B,0.56879999999999997,1,5688
372,A,0.44770000000000004,1,4477
372,B,0.54520000000000002,0,5452
373,A,0.54900000000000004,1,5490
373,B,0.65790000000000004,0,6579
374,A,0.87850000000000006,1,8785
374,B,0.66070000000000007,0,6607
375,A,0.39080000000000004,1,3908
375,B,0.63550000000000006,0,6355
376,A,0.49580000000000002,1,4958
376,B,0.7883,0,7883
377,A,0.42080000000000001,1,4208
377,B,0.1613,0,1613
378,A,2.4456000000000002,1,24456
378,B,3.1182000000000003,0,31182
379,A,0.34690000000000004,1,3469
379,B,0.37820000000000004,0,3782
380,A,0.9919,1,9919
380,B,1.1246,0,11246
381,A,1.2229000000000001,1,12229
381,B,1.4258000000000002,0,14258
382,A,0.49250000000000005,1,4925
382,B,0.27160000000000001,0,2716
383,A,0.86070000000000002,1,8607
383,B,0.42720000000000002,0,4272
384,A,0.80020000000000002,1,8002
384,B,0.77870000000000006,0,7787
385,A,0.36810000000000004,0,3681
385,B,5.4365000000000006,0,54365
386,A,0.95650000000000002,1,9565
386,B,1.1783000000000001,0,11783
387,A,0.85260000000000002,0,8526
387,B,0.17600000000000002,0,1760
388,A,0.59970000000000001,1,5997
388,B,0.15640000000000001,0,1564
389,A,0.57620000000000005,1,5762
389,B,1.2594000000000001,0,12594
390,A,0.42360000000000003,1,4236
390,B,1.1926000000000001,0,11926
391,A,0.29710000000000003,1,2971
391,B,0.94740000000000002,0,9474
392,A,1.0332000000000001,1,10332
392,B,3.4159000000000002,1,34159
393,A,0.9506,1,9506
393,B,0.3982,0,3982
394,A,0.51390000000000002,1,5139
394,B,3.3203,0,33203
395,A,0.34370000000000001,1,3437
395,B,1.3989,1,13989
396,A,0.4481,1,4481
396,B,0.28789999999999999,0,2879
397,A,1.8501000000000001,1,18501
397,B,0.83760000000000001,0,8376
398,A,0.73070000000000002,1,7307
398,B,2.4685000000000001,1,24685
399,A,0.84840000000000004,1,8484
399,B,1.1937,1,11937
400,A,0.63380000000000003,1,6338
400,B,0.56469999999999998,0,5647
401,A,1.5001,1,15001
401,B,0.86770000000000003,0,8677
402,A,0.69569999999999999,1,6957
402,B,0.82830000000000004,1,8283
403,A,0.51429999999999998,1,5143
403,B,3.1153,0,31153
404,A,1.0566,1,10566
404,B,0.36760000000000004,0,3676
405,A,1.0050000000000001,1,10050
405,B,2.6101000000000001,0,26101
406,A,0.41560000000000002,1,4156
406,B,0.23340000000000002,0,2334
407,A,1.1173999999999999,1,11174
407,B,1.6584000000000001,0,16584
408,A,1.2337,1,12337
